time="2026-08-18T22:30:13+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
time="2026-08-18T22:30:13+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
time="2026-08-18T22:30:13+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
LAST SEEN   TYPE     REASON              OBJECT                                          MESSAGE
22m         Normal   Scheduled           pod/enterprise-doc-web-7b4b7ccc96-5rcg9         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-web-7b4b7ccc96-5rcg9 to vm-0-2-ubuntu
22m         Normal   Scheduled           pod/enterprise-doc-embedding-rollout-npwt6      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-embedding-rollout-npwt6 to vm-0-2-ubuntu
22m         Normal   Scheduled           pod/enterprise-doc-migrate-8npdr                Successfully assigned enterprise-doc-agent-staging/enterprise-doc-migrate-8npdr to vm-0-2-ubuntu
22m         Normal   Scheduled           pod/enterprise-doc-consumer-7bb564d7b7-8kt65    Successfully assigned enterprise-doc-agent-staging/enterprise-doc-consumer-7bb564d7b7-8kt65 to vm-0-2-ubuntu
22m         Normal   Scheduled           pod/enterprise-doc-api-5bbc9d97dc-wrnsg         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-api-5bbc9d97dc-wrnsg to vm-0-2-ubuntu
22m         Normal   Scheduled           pod/m5-staging-smoke-gg7ks                      Successfully assigned enterprise-doc-agent-staging/m5-staging-smoke-gg7ks to vm-0-2-ubuntu
3m3s        Normal   Scheduled           pod/m5-staging-smoke-2k4th                      Successfully assigned enterprise-doc-agent-staging/m5-staging-smoke-2k4th to vm-0-2-ubuntu
3m20s       Normal   Scheduled           pod/enterprise-doc-embedding-rollout-4hjxp      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-embedding-rollout-4hjxp to vm-0-2-ubuntu
3m37s       Normal   Scheduled           pod/enterprise-doc-migrate-dbfgz                Successfully assigned enterprise-doc-agent-staging/enterprise-doc-migrate-dbfgz to vm-0-2-ubuntu
22m         Normal   Scheduled           pod/enterprise-doc-worker-8476c6cb5b-qbrxg      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-worker-8476c6cb5b-qbrxg to vm-0-2-ubuntu
22m         Normal   Scheduled           pod/enterprise-doc-api-5bbc9d97dc-4jpjs         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-api-5bbc9d97dc-4jpjs to vm-0-2-ubuntu
22m         Normal   Scheduled           pod/enterprise-doc-web-7b4b7ccc96-v9j2b         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-web-7b4b7ccc96-v9j2b to vm-0-2-ubuntu
22m         Normal   Pulled              pod/enterprise-doc-migrate-8npdr                Container image "ghcr.io/drew-z/enterprise-doc-api@sha256:47374f763618e179da9b8cda8c993a13463fd48bf62c95e423924d7ed6a4471d" already present on machine and can be accessed by the pod
22m         Normal   SuccessfulCreate    job/enterprise-doc-migrate                      Created pod: enterprise-doc-migrate-8npdr
22m         Normal   Started             pod/enterprise-doc-migrate-8npdr                Container started
22m         Normal   Created             pod/enterprise-doc-migrate-8npdr                Container created
22m         Normal   ScalingReplicaSet   deployment/enterprise-doc-api                   Scaled down replica set enterprise-doc-api-6b7867f4dc from 2 to 1
22m         Normal   SuccessfulDelete    replicaset/enterprise-doc-consumer-7576b7d64c   Deleted pod: enterprise-doc-consumer-7576b7d64c-kg26x
22m         Normal   Pulled              pod/enterprise-doc-api-5bbc9d97dc-4jpjs         Container image "ghcr.io/drew-z/enterprise-doc-api@sha256:47374f763618e179da9b8cda8c993a13463fd48bf62c95e423924d7ed6a4471d" already present on machine and can be accessed by the pod
22m         Normal   Killing             pod/enterprise-doc-consumer-7576b7d64c-kg26x    Stopping container consumer
22m         Normal   ScalingReplicaSet   deployment/enterprise-doc-consumer              Scaled down replica set enterprise-doc-consumer-7576b7d64c from 1 to 0
22m         Normal   ScalingReplicaSet   deployment/enterprise-doc-web                   Scaled up replica set enterprise-doc-web-7b4b7ccc96 from 0 to 1
22m         Normal   SuccessfulDelete    replicaset/enterprise-doc-worker-755467f7f9     Deleted pod: enterprise-doc-worker-755467f7f9-9cjn5
22m         Normal   ScalingReplicaSet   deployment/enterprise-doc-web                   Scaled down replica set enterprise-doc-web-5fcfd4c456 from 2 to 1
22m         Normal   SuccessfulCreate    replicaset/enterprise-doc-consumer-7bb564d7b7   Created pod: enterprise-doc-consumer-7bb564d7b7-8kt65
22m         Normal   ScalingReplicaSet   deployment/enterprise-doc-api                   Scaled up replica set enterprise-doc-api-5bbc9d97dc from 0 to 1
22m         Normal   ScalingReplicaSet   deployment/enterprise-doc-consumer              Scaled up replica set enterprise-doc-consumer-7bb564d7b7 from 0 to 1
22m         Normal   Killing             pod/enterprise-doc-worker-755467f7f9-9cjn5      Stopping container worker
22m         Normal   SuccessfulCreate    replicaset/enterprise-doc-web-7b4b7ccc96        Created pod: enterprise-doc-web-7b4b7ccc96-v9j2b
22m         Normal   SuccessfulDelete    replicaset/enterprise-doc-api-6b7867f4dc        Deleted pod: enterprise-doc-api-6b7867f4dc-lwqbb
22m         Normal   SuccessfulCreate    replicaset/enterprise-doc-worker-8476c6cb5b     Created pod: enterprise-doc-worker-8476c6cb5b-qbrxg
22m         Normal   Killing             pod/enterprise-doc-api-6b7867f4dc-lwqbb         Stopping container api
22m         Normal   SuccessfulDelete    replicaset/enterprise-doc-web-5fcfd4c456        Deleted pod: enterprise-doc-web-5fcfd4c456-99vkf
22m         Normal   Killing             pod/enterprise-doc-web-5fcfd4c456-99vkf         Stopping container web
22m         Normal   Completed           job/enterprise-doc-migrate                      Job completed
22m         Normal   ScalingReplicaSet   deployment/enterprise-doc-worker                Scaled down replica set enterprise-doc-worker-755467f7f9 from 1 to 0
