time="2026-08-19T14:24:45+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
time="2026-08-19T14:24:45+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
time="2026-08-19T14:24:45+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
LAST SEEN   TYPE      REASON              OBJECT                                          MESSAGE
7m24s       Normal    Scheduled           pod/enterprise-doc-api-7fc9b49dd9-b8cx7         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-api-7fc9b49dd9-b8cx7 to vm-0-2-ubuntu
7m40s       Normal    Scheduled           pod/enterprise-doc-migrate-nk7nr                Successfully assigned enterprise-doc-agent-staging/enterprise-doc-migrate-nk7nr to vm-0-2-ubuntu
7m24s       Normal    Scheduled           pod/enterprise-doc-consumer-7f9668c9cc-qvblp    Successfully assigned enterprise-doc-agent-staging/enterprise-doc-consumer-7f9668c9cc-qvblp to vm-0-2-ubuntu
7m6s        Normal    Scheduled           pod/enterprise-doc-embedding-rollout-p7r2l      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-embedding-rollout-p7r2l to vm-0-2-ubuntu
7m17s       Normal    Scheduled           pod/enterprise-doc-api-7fc9b49dd9-dblbb         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-api-7fc9b49dd9-dblbb to vm-0-2-ubuntu
6m55s       Normal    Scheduled           pod/m5-staging-smoke-n5c4m                      Successfully assigned enterprise-doc-agent-staging/m5-staging-smoke-n5c4m to vm-0-2-ubuntu
109s        Normal    Scheduled           pod/m5-staging-smoke-7kwq8                      Successfully assigned enterprise-doc-agent-staging/m5-staging-smoke-7kwq8 to vm-0-2-ubuntu
2m18s       Normal    Scheduled           pod/enterprise-doc-migrate-zrfrk                Successfully assigned enterprise-doc-agent-staging/enterprise-doc-migrate-zrfrk to vm-0-2-ubuntu
7m24s       Normal    Scheduled           pod/enterprise-doc-worker-7fbdb7bdc5-fkn4v      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-worker-7fbdb7bdc5-fkn4v to vm-0-2-ubuntu
2m          Normal    Scheduled           pod/enterprise-doc-embedding-rollout-x89hs      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-embedding-rollout-x89hs to vm-0-2-ubuntu
12m         Warning   Unhealthy           pod/enterprise-doc-worker-5cf6fb7d8-cp7gs       Readiness probe failed: HTTP probe failed with statuscode: 503
12m         Warning   Unhealthy           pod/enterprise-doc-api-97b7b86-zj68b            Readiness probe failed: HTTP probe failed with statuscode: 503
7m41s       Normal    Pulled              pod/enterprise-doc-migrate-nk7nr                Container image "ghcr.io/drew-z/enterprise-doc-api@sha256:5472211ba8882ffa8ed60cffbe85aab94b2712cfece28f29d6b0271f0dbdb703" already present on machine and can be accessed by the pod
7m41s       Normal    SuccessfulCreate    job/enterprise-doc-migrate                      Created pod: enterprise-doc-migrate-nk7nr
7m41s       Normal    Started             pod/enterprise-doc-migrate-nk7nr                Container started
7m41s       Normal    Created             pod/enterprise-doc-migrate-nk7nr                Container created
7m26s       Normal    Completed           job/enterprise-doc-migrate                      Job completed
7m25s       Normal    SuccessfulCreate    replicaset/enterprise-doc-worker-7fbdb7bdc5     Created pod: enterprise-doc-worker-7fbdb7bdc5-fkn4v
7m25s       Normal    ScalingReplicaSet   deployment/enterprise-doc-api                   Scaled down replica set enterprise-doc-api-97b7b86 from 2 to 1
7m25s       Normal    Killing             pod/enterprise-doc-consumer-7d949c74c4-nh7tm    Stopping container consumer
7m25s       Normal    SuccessfulDelete    replicaset/enterprise-doc-consumer-7d949c74c4   Deleted pod: enterprise-doc-consumer-7d949c74c4-nh7tm
7m25s       Normal    ScalingReplicaSet   deployment/enterprise-doc-api                   Scaled up replica set enterprise-doc-api-7fc9b49dd9 from 0 to 1
7m25s       Normal    Pulled              pod/enterprise-doc-consumer-7f9668c9cc-qvblp    Container image "ghcr.io/drew-z/enterprise-doc-consumer@sha256:746e072e4b9f63e27438b7397984d4e85362db5d57a28c7baa40f2acfa027efd" already present on machine and can be accessed by the pod
7m25s       Normal    Created             pod/enterprise-doc-consumer-7f9668c9cc-qvblp    Container created
