time="2026-09-09T00:03:26+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
time="2026-09-09T00:03:26+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
time="2026-09-09T00:03:26+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
LAST SEEN   TYPE      REASON              OBJECT                                          MESSAGE
92s         Normal    Scheduled           pod/enterprise-doc-consumer-69c77dff57-gq57z    Successfully assigned enterprise-doc-agent-staging/enterprise-doc-consumer-69c77dff57-gq57z to vm-4-7-ubuntu
106s        Normal    Scheduled           pod/enterprise-doc-consumer-69c77dff57-grfkx    Successfully assigned enterprise-doc-agent-staging/enterprise-doc-consumer-69c77dff57-grfkx to vm-4-7-ubuntu
92s         Normal    Scheduled           pod/enterprise-doc-consumer-69c77dff57-fwnjl    Successfully assigned enterprise-doc-agent-staging/enterprise-doc-consumer-69c77dff57-fwnjl to vm-4-7-ubuntu
64s         Normal    Scheduled           pod/enterprise-doc-web-67895ccb9f-sbxdn         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-web-67895ccb9f-sbxdn to vm-4-7-ubuntu
106s        Normal    Scheduled           pod/enterprise-doc-web-67895ccb9f-sct9p         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-web-67895ccb9f-sct9p to vm-4-7-ubuntu
106s        Normal    Scheduled           pod/enterprise-doc-api-6f5749fc58-rd4vh         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-api-6f5749fc58-rd4vh to vm-4-7-ubuntu
64s         Normal    Scheduled           pod/enterprise-doc-api-6f5749fc58-csbwf         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-api-6f5749fc58-csbwf to vm-4-7-ubuntu
81s         Normal    Scheduled           pod/enterprise-doc-embedding-rollout-x9tpt      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-embedding-rollout-x9tpt to vm-4-7-ubuntu
51s         Normal    Scheduled           pod/m5-staging-smoke-f99m8                      Successfully assigned enterprise-doc-agent-staging/m5-staging-smoke-f99m8 to vm-4-7-ubuntu
106s        Normal    Scheduled           pod/enterprise-doc-worker-7665578cfc-bq6bk      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-worker-7665578cfc-bq6bk to vm-4-7-ubuntu
2m12s       Normal    Scheduled           pod/enterprise-doc-migrate-cdhww                Successfully assigned enterprise-doc-agent-staging/enterprise-doc-migrate-cdhww to vm-4-7-ubuntu
92s         Normal    Scheduled           pod/enterprise-doc-consumer-69c77dff57-n7dpv    Successfully assigned enterprise-doc-agent-staging/enterprise-doc-consumer-69c77dff57-n7dpv to vm-4-7-ubuntu
42m         Warning   Unhealthy           pod/enterprise-doc-api-6f5749fc58-xhn9m         Readiness probe failed: HTTP probe failed with statuscode: 503
